0,1542621743,-120,-12.25
0,1542622045,-120,-13.25
0,1542622072,-120,-10.5
1,1542622634,-121,-11.75
1,1542622743,-121,-13
1,1542622817,-119,-8.5
2,1542623122,-121,-11
2,1542623186,-120,-9
2,1542623371,-121,-11.5
2,1542623433,-120,-10.25
3,1542623589,-119,-7.75
3,1542623630,-121,-9.5
3,1542623777,-120,-10.5
3,1542623798,-120,-10
4,1542624181,-120,-6.75
4,1542624204,-120,-8.75
5,1542624484,-121,-6
0,1542625602,-119,0.5
0,1542625621,-63,-3.5
0,1542625649,-119,-10.25
0,1542625705,-119,-3.5
0,1542625908,-115,1
1,1542625991,-115,-10.5
1,1542626027,-107,-10.5
1,1542626063,-120,-4.25
1,1542626099,-118,-0.25
1,1542626170,-117,-2.5
1,1542626329,-115,1.75
2,1542626421,-117,-0.25
2,1542626457,-118,-2.75
2,1542626461,-119,-4.25
2,1542626517,-121,-5
2,1542626564,-119,-8.75
2,1542626652,-118,-1.25
2,1542626691,-118,-11
3,1542626836,-118,-3.5
3,1542626845,-121,-8.25
3,1542627006,-121,-6
3,1542627009,-117,-7.25
3,1542627091,-117,1.75
3,1542627094,-115,-8.75
3,1542627142,-120,-5.75
3,1542627192,-120,-1
4,1542627344,-117,1.25
4,1542627417,-115,2
4,1542627487,-114,-8.5
4,1542627543,-120,-5.5
4,1542627577,-110,-3.75
4,1542627604,-111,2.25
5,1542627671,-120,-2.25
5,1542627705,-117,-2
5,1542627709,-117,-4.25
5,1542627713,-113,4.5
5,1542627850,-113,3.5
5,1542627880,-114,2.25
5,1542627893,-117,1.5
0,1542628988,-121,-0.75
0,1542629045,-115,-1.75
0,1542629079,-118,-3.5
0,1542629107,-117,-1
0,1542629138,-120,0.25
0,1542629162,-119,-10
0,1542629288,-119,-4
0,1542629298,-119,-1.75
1,1542629417,-114,0.75
1,1542629448,-118,-5.75
1,1542629485,-115,-12
1,1542629530,-116,-1
1,1542629558,-114,-6.25
1,1542629646,-120,-0.5
1,1542629670,-112,-3.25
1,1542629684,-121,-0.25
1,1542629703,-119,-6.75
2,1542629782,-117,-0.5
2,1542629787,-120,-5.75
2,1542629853,-117,-1
2,1542629858,-119,-3
2,1542629862,-119,-4.25
2,1542629873,-119,-8.75
3,1542629951,-111,-6
3,1542629964,-120,-5.25
3,1542630009,-119,-2.25
3,1542630017,-120,-2.25
3,1542630033,-118,-5
3,1542630055,-121,-5.25
4,1542630145,-119,-9
4,1542630269,-119,-1.25
4,1542630272,-119,-6.25
4,1542630320,-119,-5.25
4,1542630333,-118,-2.75
4,1542630374,-119,-7.25
4,1542630406,-120,-5.25
5,1542630492,-120,-2
5,1542630509,-120,-9.75
5,1542630520,-119,-2.75
5,1542630526,-120,-5
0,1542633686,-103,8.25
0,1542633695,-89,5
0,1542633707,-101,7.5
0,1542633711,-98,6
0,1542633716,-97,6.25
0,1542633720,-95,5
0,1542633725,-97,7
0,1542633763,-91,6.75
1,1542633793,-93,7.5
1,1542633797,-109,7.5
1,1542633801,-94,8
1,1542633805,-107,10.5
1,1542633809,-90,6.75
1,1542633813,-95,6.75
1,1542633844,-109,9.5
1,1542633847,-93,10
2,1542633916,-95,6
2,1542633926,-96,6.25
2,1542633929,-85,7.5
2,1542633933,-93,8.75
2,1542633936,-88,10
2,1542633976,-96,9.75
2,1542633980,-96,7.5
2,1542633983,-91,9
3,1542634033,-99,12.5
3,1542634036,-94,6
3,1542634040,-95,5
3,1542634043,-96,5
3,1542634076,-96,7.5
3,1542634079,-102,7.5
3,1542634082,-99,5.5
3,1542634086,-97,10.25
4,1542634099,-99,10.75
4,1542634102,-99,10
4,1542634132,-103,8.5
4,1542634135,-103,1.75
4,1542634139,-103,-3
4,1542634142,-109,3.5
4,1542634145,-102,10.25
5,1542634164,-99,7.75
5,1542634167,-91,7
5,1542634170,-102,6.5
5,1542634204,-95,9.5
5,1542634207,-94,8.25
5,1542634215,-97,9
5,1542634218,-96,8.5
0,1542634982,-111,3.25
0,1542634987,-116,0.25
0,1542634991,-109,-8.25
0,1542634995,-114,0.75
0,1542635000,-116,0.75
0,1542635004,-116,-7.5
0,1542635078,-114,3
1,1542635114,-111,4.75
1,1542635118,-117,5.25
1,1542635122,-103,-6.5
1,1542635126,-117,3.5
1,1542635130,-109,-0.75
1,1542635161,-111,-3.25
1,1542635165,-115,-0.25
1,1542635169,-115,3
2,1542635230,-111,0.25
2,1542635233,-110,5.75
2,1542635237,-117,1
2,1542635240,-111,3.75
2,1542635244,-113,-2.5
2,1542635247,-108,5.5
2,1542635251,-112,5.75
2,1542635282,-114,5.75
3,1542635297,-115,3.75
3,1542635301,-113,3
3,1542635304,-113,6.25
3,1542635307,-101,-5.5
3,1542635311,-112,-9.5
3,1542635314,-113,5.5
3,1542635344,-114,3
3,1542635347,-114,-6
4,1542635411,-112,4.5
4,1542635415,-108,6
4,1542635418,-111,7
4,1542635421,-111,5.5
4,1542635425,-107,-1.25
4,1542635428,-111,6.75
4,1542635431,-101,-7.25
4,1542635461,-109,7.75
5,1542635475,-109,-0.25
5,1542635478,-113,5.75
5,1542635485,-109,5.75
5,1542635488,-111,5.75
5,1542635491,-113,3.75
5,1542635498,-111,5
0,1542635892,-114,-4
0,1542635897,-118,-1.5
0,1542635901,-117,-0.5
0,1542635906,-119,-3.5
0,1542635910,-114,-8
0,1542635914,-114,-10
0,1542635919,-119,-6.75
0,1542635953,-119,-6.75
1,1542636015,-114,-6.75
1,1542636023,-118,-3.75
1,1542636027,-118,-2
1,1542636031,-120,-7.5
1,1542636034,-120,-7
2,1542636077,-119,-0.5
2,1542636084,-119,-4.25
2,1542636087,-119,-2.75
2,1542636091,-109,-10
2,1542636147,-120,-3.75
2,1542636154,-120,-2.5
3,1542636200,-120,-9.25
3,1542636240,-118,-4.25
4,1542636250,-119,-3
4,1542636253,-115,-0.5
4,1542636256,-118,-5
4,1542636259,-118,-3.75
4,1542636287,-119,-1
4,1542636290,-121,-4
5,1542636320,-117,-5.75
5,1542636351,-119,-2.25
